221932:"{'cellular response to steroid hormone stimulus (GO:0071383)', 'C21-steroid hormone biosynthetic process (GO:0006700)', ""protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan (GO:0018406)"", 'protein localization to centrosome (GO:0071539)', 'osteoclast differentiation (GO:0030316)', 'Notch receptor processing (GO:0007220)', 'regulation of transcription from RNA polymerase III promoter (GO:0006359)', 'fructose metabolic process (GO:0006000)', 'protein C-linked glycosylation via tryptophan (GO:0018317)', 'protein localization to cilium (GO:0061512)', 'cellular hyperosmotic response (GO:0071474)', 'organelle fusion (GO:0048284)', 'daunorubicin metabolic process (GO:0044597)', 'protein mannosylation (GO:0035268)', 'actin filament polymerization (GO:0030041)', 'positive regulation of transcription of Notch receptor target (GO:0007221)', 'regulation of protein localization to membrane (GO:1905475)', 'aminoglycoside antibiotic metabolic process (GO:0030647)', 'mitochondrial fusion (GO:0008053)', 'doxorubicin metabolic process (GO:0044598)', 'glycoside metabolic process (GO:0016137)', 'transcription initiation from RNA polymerase II promoter (GO:0006367)', 'branched-chain amino acid catabolic process (GO:0009083)', 'positive regulation of transcription from RNA polymerase III promoter (GO:0045945)', 'Notch receptor processing, ligand-dependent (GO:0035333)', 'mitochondrial membrane organization (GO:0007006)', 'regulation of protein localization to cell periphery (GO:1904375)', 'quinone metabolic process (GO:1901661)', 'protein localization to microtubule organizing center (GO:1905508)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)'}"
34582:"{'positive regulation of RNA splicing (GO:0033120)', 'positive regulation of nucleobase-containing compound transport (GO:0032241)', 'mRNA cis splicing, via spliceosome (GO:0045292)', 'response to cadmium ion (GO:0046686)', 'negative regulation of axonogenesis (GO:0050771)', 'positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)', 'cellular modified amino acid biosynthetic process (GO:0042398)', 'glutamine family amino acid biosynthetic process (GO:0009084)', 'positive regulation of nucleocytoplasmic transport (GO:0046824)', 'mitochondrial ATP synthesis coupled proton transport (GO:0042776)', 'positive regulation of nitrogen compound metabolic process (GO:0051173)', 'regulation of phosphatase activity (GO:0010921)', 'positive regulation of protein export from nucleus (GO:0046827)', 'negative regulation of protein dephosphorylation (GO:0035308)', 'positive regulation of autophagy of mitochondrion (GO:1903599)', 'positive regulation of axon extension (GO:0045773)', 'phosphatidylethanolamine metabolic process (GO:0046337)', 'synaptic transmission, glutamatergic (GO:0035249)', 'positive regulation of deacetylase activity (GO:0090045)', 'cellular response to cadmium ion (GO:0071276)', 'negative regulation of calcium ion transmembrane transporter activity (GO:1901020)', 'response to lead ion (GO:0010288)', 'regulation of phosphoprotein phosphatase activity (GO:0043666)', 'dicarboxylic acid biosynthetic process (GO:0043650)', 'regulation of axon extension (GO:0030516)', 'glutamate metabolic process (GO:0006536)', 'glutamine family amino acid catabolic process (GO:0009065)', 'negative regulation of calcium ion transmembrane transport (GO:1903170)', 'heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)', 'phosphatidylethanolamine biosynthetic process (GO:0006646)'}"
127417:"{'mitotic G1/S transition checkpoint (GO:0044819)', 'regulation of protein localization to Cajal body (GO:1904869)', 'cellular response to nitrogen starvation (GO:0006995)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', 'relaxation of muscle (GO:0090075)', 'positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)', 'cell communication by electrical coupling involved in cardiac conduction (GO:0086064)', 'fructose metabolic process (GO:0006000)', 'fructose 6-phosphate metabolic process (GO:0006002)', 'G1 DNA damage checkpoint (GO:0044783)', 'regulation of protein localization to nucleus (GO:1900180)', 'positive regulation of protein localization to chromosome, telomeric region (GO:1904816)', 'response to nicotine (GO:0035094)', 'synaptic vesicle transport (GO:0048489)', 'long-chain fatty acid biosynthetic process (GO:0042759)', 'cellular sodium ion homeostasis (GO:0006883)', 'histone-serine phosphorylation (GO:0035404)', 'hyaluronan biosynthetic process (GO:0030213)', 'regulation of fatty acid metabolic process (GO:0019217)', 'regulation of glycogen (starch) synthase activity (GO:2000465)', 'regulation of extent of cell growth (GO:0061387)', 'inositol phosphate catabolic process (GO:0071545)', 'positive regulation of protein localization to Cajal body (GO:1904871)', 'import across plasma membrane (GO:0098739)', 'mitotic G1 DNA damage checkpoint (GO:0031571)', 'cellular response to nitrogen levels (GO:0043562)', 'regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)', 'regulation of lipid kinase activity (GO:0043550)', 'regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
617:"{'mitochondrial transport (GO:0006839)', 'endodermal cell differentiation (GO:0035987)', 'lipoxygenase pathway (GO:0019372)', 'purine-containing compound metabolic process (GO:0072521)', 'inner mitochondrial membrane organization (GO:0007007)', 'purine ribonucleoside triphosphate biosynthetic process (GO:0009206)', 'ATP metabolic process (GO:0046034)', 'ATP synthesis coupled proton transport (GO:0015986)', 'respiratory electron transport chain (GO:0022904)', 'purine ribonucleoside monophosphate biosynthetic process (GO:0009168)', 'glucose catabolic process to pyruvate (GO:0061718)', 'short-chain fatty acid catabolic process (GO:0019626)', 'mitochondrial ATP synthesis coupled proton transport (GO:0042776)', 'gluconeogenesis (GO:0006094)', 'glycolytic process through glucose-6-phosphate (GO:0061620)', 'purine nucleobase metabolic process (GO:0006144)', 'mitochondrial ATP synthesis coupled electron transport (GO:0042775)', 'positive regulation of vesicle fusion (GO:0031340)', 'endoderm formation (GO:0001706)', 'oxidative phosphorylation (GO:0006119)', 'substantia nigra development (GO:0021762)', 'granulocyte migration (GO:0097530)', 'heterotypic cell-cell adhesion (GO:0034113)', 'ATP biosynthetic process (GO:0006754)', 'cristae formation (GO:0042407)', 'short-chain fatty acid metabolic process (GO:0046459)', 'positive regulation of organelle organization (GO:0010638)', 'purine nucleotide biosynthetic process (GO:0006164)', 'viral entry into host cell (GO:0046718)', 'canonical glycolysis (GO:0061621)'}"
246616:"{'negative regulation of protein oligomerization (GO:0032460)', 'regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)', 'positive regulation of protein import into nucleus, translocation (GO:0033160)', 'regulation of protein localization to early endosome (GO:1902965)', 'positive regulation of intracellular transport (GO:0032388)', 'regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)', 'Rac protein signal transduction (GO:0016601)', 'IRES-dependent viral translational initiation (GO:0075522)', 'heme biosynthetic process (GO:0006783)', 'porphyrin-containing compound biosynthetic process (GO:0006779)', 'glutathione derivative metabolic process (GO:1901685)', 'cellular response to exogenous dsRNA (GO:0071360)', 'hindlimb morphogenesis (GO:0035137)', 'plus-end-directed organelle transport along microtubule (GO:0072386)', 'positive regulation of cellular extravasation (GO:0002693)', 'cellular response to heat (GO:0034605)', 'cytoplasmic translational initiation (GO:0002183)', 'positive regulation of viral release from host cell (GO:1902188)', 'negative regulation of Rho protein signal transduction (GO:0035024)', 'tRNA modification (GO:0006400)', 'positive regulation of action potential (GO:0045760)', 'glutathione derivative biosynthetic process (GO:1901687)', 'positive regulation of protein localization to endosome (GO:1905668)', 'viral translation (GO:0019081)', 'striated muscle hypertrophy (GO:0014897)', 'positive regulation of striated muscle contraction (GO:0045989)', 'regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)', 'regulation of smooth muscle contraction (GO:0006940)', 'cellular response to dsRNA (GO:0071359)', 'cellular response to arsenic-containing substance (GO:0071243)'}"
218722:"{'focal adhesion assembly (GO:0048041)', 'telencephalon cell migration (GO:0022029)', 'negative regulation of type I interferon-mediated signaling pathway (GO:0060339)', 'positive regulation of protein import into nucleus, translocation (GO:0033160)', 'cellular response to caffeine (GO:0071313)', 'cerebral cortex cell migration (GO:0021795)', 'ceramide biosynthetic process (GO:0046513)', 'lipid hydroxylation (GO:0002933)', 'citrate metabolic process (GO:0006101)', 'regulation of interleukin-23 production (GO:0032667)', 'divalent metal ion transport (GO:0070838)', 'regulation of glomerular filtration (GO:0003093)', 'renal filtration cell differentiation (GO:0061318)', 'glomerular epithelial cell differentiation (GO:0072311)', 'valine metabolic process (GO:0006573)', 'lamellipodium organization (GO:0097581)', 'negative regulation of cell-substrate adhesion (GO:0010812)', 'regulation of MHC class I biosynthetic process (GO:0045343)', 'regulation of interferon-gamma-mediated signaling pathway (GO:0060334)', 'cell-substrate adherens junction assembly (GO:0007045)', 'protein repair (GO:0030091)', 'peripheral nervous system neuron development (GO:0048935)', 'regulation of extent of cell growth (GO:0061387)', 'negative regulation of cell-matrix adhesion (GO:0001953)', 'renal system process involved in regulation of blood volume (GO:0001977)', 'regulation of interleukin-12 production (GO:0032655)', 'regulation of developmental growth (GO:0048638)', 'release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808)', 'regulation of smooth muscle contraction (GO:0006940)', 'negative regulation of STAT cascade (GO:1904893)'}"
35882:"{'deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)', 'aspartate family amino acid biosynthetic process (GO:0009067)', 'citrate metabolic process (GO:0006101)', 'mitotic recombination (GO:0006312)', 'regulation of interleukin-23 production (GO:0032667)', 'regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)', 'daunorubicin metabolic process (GO:0044597)', 'tetrahydrofolate interconversion (GO:0035999)', 'progesterone metabolic process (GO:0042448)', 'purine nucleobase biosynthetic process (GO:0009113)', 'prostaglandin metabolic process (GO:0006693)', 'positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)', 'regulation of actin filament bundle assembly (GO:0032231)', 'positive regulation of neutrophil chemotaxis (GO:0090023)', 'aminoglycoside antibiotic metabolic process (GO:0030647)', 'doxorubicin metabolic process (GO:0044598)', 'glycoside metabolic process (GO:0016137)', 'telomere maintenance via recombination (GO:0000722)', 'regulation of respiratory burst (GO:0060263)', 'positive regulation of granulocyte chemotaxis (GO:0071624)', 'regulation of superoxide metabolic process (GO:0090322)', 'regulation of actomyosin structure organization (GO:0110020)', 'C21-steroid hormone metabolic process (GO:0008207)', 'prostanoid metabolic process (GO:0006692)', 'quinone metabolic process (GO:1901661)', 'L-amino acid import (GO:0043092)', 'positive regulation of neutrophil migration (GO:1902624)', 'N-terminal protein amino acid modification (GO:0031365)', 'regulation of neutrophil chemotaxis (GO:0090022)'}"
137565:"{'nucleotide phosphorylation (GO:0046939)', 'nucleoside triphosphate biosynthetic process (GO:0009142)', 'nucleoside diphosphate phosphorylation (GO:0006165)', 'malate metabolic process (GO:0006108)', 'glycolytic process (GO:0006096)', 'excitatory chemical synaptic transmission (GO:0098976)', 'glutamate receptor signaling pathway (GO:0007215)', 'response to alkaloid (GO:0043279)', 'calcium ion transmembrane import into cytosol (GO:0097553)', 'excitatory postsynaptic potential (GO:0060079)', 'amino acid import across plasma membrane (GO:0089718)', 'long-term synaptic potentiation (GO:0060291)', 'glucose catabolic process to pyruvate (GO:0061718)', 'chemical synaptic transmission, postsynaptic (GO:0099565)', 'anterograde trans-synaptic signaling (GO:0098916)', 'gluconeogenesis (GO:0006094)', 'glycolytic process through glucose-6-phosphate (GO:0061620)', 'oxaloacetate metabolic process (GO:0006107)', 'gamma-aminobutyric acid signaling pathway (GO:0007214)', 'synaptic transmission, GABAergic (GO:0051932)', 'synaptic transmission, glutamatergic (GO:0035249)', 'chemical synaptic transmission (GO:0007268)', 'prepulse inhibition (GO:0060134)', 'central nervous system neuron development (GO:0021954)', 'calcium ion transport into cytosol (GO:0060402)', 'regulation of postsynaptic membrane potential (GO:0060078)', 'modulation of chemical synaptic transmission (GO:0050804)', 'acidic amino acid transport (GO:0015800)', 'canonical glycolysis (GO:0061621)', 'nucleoside diphosphate metabolic process (GO:0009132)'}"
1214:"{'iron ion transport (GO:0006826)', 'positive regulation of immunoglobulin mediated immune response (GO:0002891)', 'regulation of fibroblast proliferation (GO:0048145)', 'regulation of T cell cytokine production (GO:0002724)', 'iron ion homeostasis (GO:0055072)', 'cellular iron ion homeostasis (GO:0006879)', 'positive regulation of alpha-beta T cell proliferation (GO:0046641)', 'positive regulation of T cell activation (GO:0050870)', 'cellular response to interleukin-21 (GO:0098757)', 'positive regulation of immunoglobulin production (GO:0002639)', 'cellular response to interferon-gamma (GO:0071346)', 'regulation of B cell proliferation (GO:0030888)', 'positive regulation of T cell proliferation (GO:0042102)', 'regulation of interleukin-10 production (GO:0032653)', 'positive regulation of type 2 immune response (GO:0002830)', 'Wnt signaling pathway, calcium modulating pathway (GO:0007223)', 'positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)', 'midbrain dopaminergic neuron differentiation (GO:1904948)', 'positive regulation of cytokine production (GO:0001819)', 'replicative senescence (GO:0090399)', 'regulation of cholesterol homeostasis (GO:2000188)', 'cytokine-mediated signaling pathway (GO:0019221)', 'interleukin-21-mediated signaling pathway (GO:0038114)', 'positive regulation of T cell cytokine production (GO:0002726)', 'regulation of dendritic cell differentiation (GO:2001198)', 'regulation of DNA-templated transcription, initiation (GO:2000142)', 'regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)', 'positive regulation of neuron death (GO:1901216)', 'regulation of T cell proliferation (GO:0042129)', 'cellular response to drug (GO:0035690)'}"
216888:"{'negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)', 'negative regulation of membrane protein ectodomain proteolysis (GO:0051045)', 'negative regulation of glycoprotein biosynthetic process (GO:0010561)', 'exocrine system development (GO:0035272)', 'galactosylceramide metabolic process (GO:0006681)', 'negative regulation of acute inflammatory response (GO:0002674)', 'regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)', 'neuromuscular junction development (GO:0007528)', 'ventricular compact myocardium morphogenesis (GO:0003223)', 'T-helper 17 cell lineage commitment (GO:0072540)', 'T-helper cell lineage commitment (GO:0002295)', 'B cell mediated immunity (GO:0019724)', 'regulation of store-operated calcium entry (GO:2001256)', 'regulation of chaperone-mediated autophagy (GO:1904714)', 'negative regulation of hydrogen peroxide-induced cell death (GO:1903206)', 'lens fiber cell differentiation (GO:0070306)', 'protein repair (GO:0030091)', 'choline catabolic process (GO:0042426)', 'negative regulation of leukocyte degranulation (GO:0043301)', 'retinal ganglion cell axon guidance (GO:0031290)', 'cellular biogenic amine catabolic process (GO:0042402)', 'vesicle transport along actin filament (GO:0030050)', 'negative regulation of macrophage derived foam cell differentiation (GO:0010745)', 'negative regulation of mRNA polyadenylation (GO:1900364)', 'T-helper 17 cell differentiation (GO:0072539)', 'intracellular sterol transport (GO:0032366)', 'response to magnesium ion (GO:0032026)', 'ventricular trabecula myocardium morphogenesis (GO:0003222)', 'cellular response to magnesium ion (GO:0071286)', 'immunoglobulin mediated immune response (GO:0016064)'}"
46984:"{'negative regulation of cellular senescence (GO:2000773)', 'mineralocorticoid biosynthetic process (GO:0006705)', 'cellular response to angiotensin (GO:1904385)', 'inner ear receptor stereocilium organization (GO:0060122)', 'cellular response to epinephrine stimulus (GO:0071872)', 'regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)', 'negative regulation of reactive oxygen species biosynthetic process (GO:1903427)', 'calcium ion import across plasma membrane (GO:0098703)', 'regulation of sequestering of zinc ion (GO:0061088)', 'negative regulation of nitric oxide biosynthetic process (GO:0045019)', 'regulation of cardiac conduction (GO:1903779)', 'glucocorticoid metabolic process (GO:0008211)', 'calcium ion import into cytosol (GO:1902656)', 'dolichyl diphosphate metabolic process (GO:0046465)', 'isoprenoid biosynthetic process (GO:0008299)', 'establishment of Golgi localization (GO:0051683)', 'cell-cell junction maintenance (GO:0045217)', 'negative regulation of cardiac muscle hypertrophy (GO:0010614)', 'intrinsic apoptotic signaling pathway in response to oxidative stress (GO:0008631)', 'epithelial cell-cell adhesion (GO:0090136)', 'dolichyl diphosphate biosynthetic process (GO:0006489)', 'response to UV-C (GO:0010225)', 'manganese ion transport (GO:0006828)', 'glucocorticoid biosynthetic process (GO:0006704)', 'regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544)', 'negative regulation of nitric oxide metabolic process (GO:1904406)', 'Golgi inheritance (GO:0048313)', 'negative regulation of monooxygenase activity (GO:0032769)', 'negative regulation of biosynthetic process (GO:0009890)', 'response to epinephrine (GO:0071871)'}"
839:"{'bleb assembly (GO:0032060)', 'hyaluronan metabolic process (GO:0030212)', 'positive regulation of T cell mediated immunity (GO:0002711)', 'regulation of delayed rectifier potassium channel activity (GO:1902259)', 'response to organophosphorus (GO:0046683)', 'positive regulation of SMAD protein import into nucleus (GO:0060391)', 'positive regulation of calcium ion transmembrane transporter activity (GO:1901021)', 'negative regulation of voltage-gated potassium channel activity (GO:1903817)', 'toll-like receptor 3 signaling pathway (GO:0034138)', 'modulation by virus of host morphology or physiology (GO:0019048)', 'mitotic chromosome condensation (GO:0007076)', 'regulation of mitotic sister chromatid separation (GO:0010965)', 'regulation of T cell mediated cytotoxicity (GO:0001914)', 'regulation of metaphase/anaphase transition of cell cycle (GO:1902099)', 'regulation of cell development (GO:0060284)', 'positive regulation of lipid metabolic process (GO:0045834)', 'negative regulation of potassium ion transmembrane transporter activity (GO:1901017)', 'cellular response to heat (GO:0034605)', 'synaptic transmission, glutamatergic (GO:0035249)', 'regulation of RNA export from nucleus (GO:0046831)', 'regulation of potassium ion transmembrane transporter activity (GO:1901016)', 'positive regulation of protein ubiquitination (GO:0031398)', 'regulation of transforming growth factor beta production (GO:0071634)', 'neuron migration (GO:0001764)', 'positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)', 'regulation of mitotic metaphase/anaphase transition (GO:0030071)', 'positive regulation of T cell mediated cytotoxicity (GO:0001916)', 'positive regulation of carbohydrate metabolic process (GO:0045913)', 'regulation of SMAD protein import into nucleus (GO:0060390)', 'peptide transport (GO:0015833)'}"
14904:"{'definitive hemopoiesis (GO:0060216)', 'malate metabolic process (GO:0006108)', 'regulation of protein depolymerization (GO:1901879)', 'heart trabecula formation (GO:0060347)', 'negative regulation of type I interferon-mediated signaling pathway (GO:0060339)', 'sprouting angiogenesis (GO:0002040)', 'cellular response to forskolin (GO:1904322)', 'response to muramyl dipeptide (GO:0032495)', 'mammary gland epithelial cell differentiation (GO:0060644)', 'regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)', 'engulfment of apoptotic cell (GO:0043652)', 'cellular response to nerve growth factor stimulus (GO:1990090)', 'protein kinase C-activating G-protein coupled receptor signaling pathway (GO:0007205)', 'positive regulation of axon guidance (GO:1902669)', 'positive regulation of autophagy of mitochondrion (GO:1903599)', 'iron-sulfur cluster assembly (GO:0016226)', 'positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)', 'regulation of immunoglobulin secretion (GO:0051023)', 'protein maturation by iron-sulfur cluster transfer (GO:0097428)', 'dendrite extension (GO:0097484)', 'transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)', 'positive regulation of protein deubiquitination (GO:1903003)', 'response to forskolin (GO:1904321)', 'sulfur amino acid biosynthetic process (GO:0000097)', 'peptidyl-lysine dimethylation (GO:0018027)', 'positive regulation of immunoglobulin secretion (GO:0051024)', 'purine nucleotide biosynthetic process (GO:0006164)', 'dicarboxylic acid metabolic process (GO:0043648)', 'aspartate family amino acid metabolic process (GO:0009066)', 'immunoglobulin mediated immune response (GO:0016064)'}"
35877:"{'arginine biosynthetic process (GO:0006526)', 'ruffle organization (GO:0031529)', 'exit from mitosis (GO:0010458)', 'negative regulation of endocytosis (GO:0045806)', 'positive regulation of nucleobase-containing compound transport (GO:0032241)', 'regulation of lamellipodium assembly (GO:0010591)', 'regulation of defense response to virus by virus (GO:0050690)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', '7-methylguanosine RNA capping (GO:0009452)', 'positive regulation of endopeptidase activity (GO:0010950)', '7-methylguanosine mRNA capping (GO:0006370)', 'regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)', 'negative regulation of endothelial cell proliferation (GO:0001937)', 'quaternary ammonium group transport (GO:0015697)', 'positive regulation of lamellipodium assembly (GO:0010592)', 'positive regulation of skeletal muscle fiber development (GO:0048743)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'actin nucleation (GO:0045010)', 'inner ear morphogenesis (GO:0042472)', 'mitochondrial ribosome assembly (GO:0061668)', 'regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893)', 'negative regulation of receptor-mediated endocytosis (GO:0048261)', 'TOR signaling (GO:0031929)', 'response to heparin (GO:0071503)', 'protein polymerization (GO:0051258)', 'regulation of nuclease activity (GO:0032069)', 'negative regulation of epithelial cell proliferation (GO:0050680)', 'positive regulation of lamellipodium organization (GO:1902745)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)', 'negative regulation of centriole replication (GO:0046600)'}"
135191:"{'ganglioside biosynthetic process (GO:0001574)', 'adherens junction assembly (GO:0034333)', 'glucose 6-phosphate metabolic process (GO:0051156)', 'glutamate receptor signaling pathway (GO:0007215)', 'platelet aggregation (GO:0070527)', 'positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway (GO:0051482)', 'ceramide biosynthetic process (GO:0046513)', 'lamellipodium assembly (GO:0030032)', 'homotypic cell-cell adhesion (GO:0034109)', 'N-glycan processing (GO:0006491)', 'ganglioside metabolic process (GO:0001573)', 'isoprenoid biosynthetic process (GO:0008299)', 'ubiquinone biosynthetic process (GO:0006744)', 'adherens junction organization (GO:0034332)', 'quinone biosynthetic process (GO:1901663)', 'morphogenesis of an epithelium (GO:0002009)', 'protein localization to cell surface (GO:0034394)', 'lamellipodium organization (GO:0097581)', 'epithelial cell-cell adhesion (GO:0090136)', 'glyceraldehyde-3-phosphate metabolic process (GO:0019682)', 'G-protein coupled glutamate receptor signaling pathway (GO:0007216)', 'glycosphingolipid biosynthetic process (GO:0006688)', 'NADP metabolic process (GO:0006739)', 'ubiquinone metabolic process (GO:0006743)', 'isoprenoid metabolic process (GO:0006720)', 'ribose phosphate metabolic process (GO:0019693)', 'apical junction assembly (GO:0043297)', 'dimeric G-protein coupled receptor signaling pathway (GO:0038042)', 'adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway (GO:0007196)', 'pentose-phosphate shunt (GO:0006098)'}"
34438:"{'positive regulation of ubiquitin-protein transferase activity (GO:0051443)', 'regulation of adiponectin secretion (GO:0070163)', 'regulation of protein localization to Cajal body (GO:1904869)', 'transepithelial transport (GO:0070633)', 'cellular senescence (GO:0090398)', 'kinetochore assembly (GO:0051382)', 'cellular nitrogen compound catabolic process (GO:0044270)', 'lipid hydroxylation (GO:0002933)', 'short-chain fatty acid catabolic process (GO:0019626)', 'positive regulation of mitotic sister chromatid separation (GO:1901970)', 'protein localization to microtubule (GO:0035372)', 'dolichyl diphosphate metabolic process (GO:0046465)', 'positive regulation of mitotic metaphase/anaphase transition (GO:0045842)', 'regulation of metaphase/anaphase transition of cell cycle (GO:1902099)', 'chitin catabolic process (GO:0006032)', 'regulation of vascular associated smooth muscle cell migration (GO:1904752)', 'dolichyl diphosphate biosynthetic process (GO:0006489)', 'protein localization to microtubule cytoskeleton (GO:0072698)', 'protein neddylation (GO:0045116)', 'regulation of ubiquitin-protein transferase activity (GO:0051438)', 'aminoglycan catabolic process (GO:0006026)', 'positive regulation of protein localization to Cajal body (GO:1904871)', 'ammonium transmembrane transport (GO:0072488)', 'ion homeostasis (GO:0050801)', 'regulation of ERAD pathway (GO:1904292)', 'regulation of mitotic metaphase/anaphase transition (GO:0030071)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'growth hormone secretion (GO:0030252)', 'positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)', 'chitin metabolic process (GO:0006030)'}"
75646:"{'positive regulation of p38MAPK cascade (GO:1900745)', 'regulation of p38MAPK cascade (GO:1900744)', 'regulation of cell size (GO:0008361)', 'regulation of protein serine/threonine kinase activity (GO:0071900)', 'regulation of sequestering of triglyceride (GO:0010889)', 'phosphatidylcholine acyl-chain remodeling (GO:0036151)', 'macrophage derived foam cell differentiation (GO:0010742)', 'negative regulation of cholesterol storage (GO:0010887)', 'long-term memory (GO:0007616)', 'regulation of glucokinase activity (GO:0033131)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'negative regulation of insulin secretion (GO:0046676)', 'cellular response to nutrient levels (GO:0031669)', 'peptidyl-threonine dephosphorylation (GO:0035970)', 'vasculature development (GO:0001944)', 'positive regulation of JUN kinase activity (GO:0043507)', 'phosphatidylethanolamine acyl-chain remodeling (GO:0036152)', 'heterotypic cell-cell adhesion (GO:0034113)', 'negative regulation of lipid storage (GO:0010888)', 'negative regulation of cyclin-dependent protein kinase activity (GO:1904030)', 'regulation of receptor biosynthetic process (GO:0010869)', 'peptidyl-tyrosine dephosphorylation (GO:0035335)', 'regulation of fatty acid metabolic process (GO:0019217)', 'purine-containing compound biosynthetic process (GO:0072522)', 'white fat cell differentiation (GO:0050872)', 'fatty acid transport (GO:0015908)', 'ventricular cardiac muscle tissue development (GO:0003229)', 'endoderm development (GO:0007492)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)'}"
921:"{'SRP-dependent cotranslational protein targeting to membrane (GO:0006614)', 'bile acid secretion (GO:0032782)', 'gene expression (GO:0010467)', 'plasma membrane to endosome transport (GO:0048227)', 'viral process (GO:0016032)', 'protein targeting to ER (GO:0045047)', 'protein methylation (GO:0006479)', 'rRNA transport (GO:0051029)', 'cellular macromolecule biosynthetic process (GO:0034645)', 'regulation of metaphase/anaphase transition of cell cycle (GO:1902099)', 'protein alkylation (GO:0008213)', 'nucleus localization (GO:0051647)', 'viral gene expression (GO:0019080)', 'rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)', 'peptide biosynthetic process (GO:0043043)', 'substantia nigra development (GO:0021762)', 'rRNA processing (GO:0006364)', 'nucleobase metabolic process (GO:0009112)', 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)', 'gland morphogenesis (GO:0022612)', 'endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)', 'translation (GO:0006412)', 'nuclear-transcribed mRNA catabolic process (GO:0000956)', 'cotranslational protein targeting to membrane (GO:0006613)', 'cellular protein metabolic process (GO:0044267)', 'rRNA metabolic process (GO:0016072)', 'peptidyl-diphthamide metabolic process (GO:0017182)', 'viral transcription (GO:0019083)', 'hippo signaling (GO:0035329)', 'peptidyl-diphthamide biosynthetic process from peptidyl-histidine (GO:0017183)'}"
